"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"
"ERR3357130"	100000	89380	88974	88399	81785	70379
"ERR3357150"	100000	90656	90352	89911	85476	75759
"ERR3357164"	100000	93646	93330	93296	89490	77538
